id,name,category,coverage_state,source_repositories,summary
developer.ssh-agent-autostart,Enable SSH Agent Auto-start,Developer,unmapped,,No upstream provenance match found yet. Keep this tweak in review-only state.
developer.windows-dev-mode,Enable Windows Developer Mode,Developer,unmapped,,No upstream provenance match found yet. Keep this tweak in review-only state.
developer.wsl2-memory,Optimize WSL2 Memory Usage,Developer,unmapped,,No upstream provenance match found yet. Keep this tweak in review-only state.
network.reset-winsock,Reset Winsock Catalog,Network,category-fallback,win-config,"Official Microsoft netsh winsock documentation is linked, but this tweak stays review-only until a nohuto repo documents it directly."
privacy.disable-app-diagnostics,Disable App Diagnostics,Privacy,category-fallback,win-config,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
privacy.disable-consumer-account-content,Disable Consumer Account State Content,Privacy,category-fallback,win-config,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
privacy.disable-cross-device-experiences,Cross-Device Sharing,Privacy,category-fallback,win-config,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
privacy.disable-edge-search-suggestions,Disable Edge Search Suggestions,Privacy,category-fallback,win-config,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
privacy.hide-recommended-personalized-sites,Hide Start Personalized Site Recommendations (Policy),Privacy,category-fallback,win-config,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
privacy.hide-recommended-section,Hide Start Recommended Section (Policy),Privacy,category-fallback,win-config,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
security.disable-uac,Disable UAC (Full),Security,category-fallback,win-config,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.disable-search-web-results,Disable Web Search Results,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-bluetooth-audio-gateway,Disable Bluetooth Audio Gateway Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-bluetooth-support,Disable Bluetooth Support Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-bluetooth-user-service,Disable Bluetooth User Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-connected-user-experiences,Disable Connected User Experiences Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-print-device-configuration,Disable Print Device Configuration Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-print-notifications,Disable Print Notification Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-print-scan-broker,Disable Print Scan Broker Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-print-spooler,Disable Print Spooler Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-print-workflow-user-service,Disable Print Workflow User Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-sysmain,Disable SysMain Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-wap-push-routing,Disable WAP Push Routing Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.services.disable-windows-error-reporting,Disable Windows Error Reporting Service,System,category-fallback,win-config;decompiled-pseudocode,"Linked to the closest nohuto win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
